Url,WasDetected,CMSName,CMSVersion,LanguageName,LanguageVersion,JSLibName,JSLibVersion
dqr.com.mx,FALSE,,,,,,
skyalert.mx,FALSE,,,,,,
dofiscal.net,FALSE,,,,,,
